全量更新,#genre#
CCTV-4欧洲,http://114.254.153.52:4022/rtp/239.3.1.213:4220$北京联通
CCTV-4美洲,http://114.254.153.52:4022/rtp/239.3.1.214:4220$北京联通
CCTV-5体育,http://114.254.153.52:4022/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://114.254.153.52:4022/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://114.254.153.52:4022/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://114.254.153.52:4022/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://114.254.153.52:4022/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://114.254.153.52:4022/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://114.254.153.52:4022/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://114.254.153.52:4022/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://114.254.153.52:4022/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://114.254.153.52:4022/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://114.254.153.52:4022/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://114.254.153.52:4022/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://114.254.153.52:4022/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://114.254.153.52:4022/rtp/239.3.1.151:8144$北京联通
CCTV-4K,http://114.254.153.52:4022/rtp/239.3.1.245:2000$北京联通
中国教育1台,http://114.254.153.52:4022/rtp/239.3.1.57:8152$北京联通
中国教育2台,http://114.254.153.52:4022/rtp/239.3.1.54:4120$北京联通
中国教育3台,http://114.254.153.52:4022/rtp/239.3.1.55:4120$北京联通
中国教育4台,http://114.254.153.52:4022/rtp/239.3.1.56:4120$北京联通
CGTN,http://114.254.153.52:4022/rtp/239.3.1.215:4220$北京联通
CGTN-纪录,http://114.254.153.52:4022/rtp/239.3.1.216:4220$北京联通
CGTN-西班牙语,http://114.254.153.52:4022/rtp/239.3.1.217:4220$北京联通
CGTN-法语,http://114.254.153.52:4022/rtp/239.3.1.218:4220$北京联通
CGTN-阿拉伯语,http://114.254.153.52:4022/rtp/239.3.1.219:4220$北京联通
CGTN-俄语,http://114.254.153.52:4022/rtp/239.3.1.220:4220$北京联通
湖南卫视,http://114.254.153.52:4022/rtp/239.3.1.132:8012$北京联通
江苏卫视,http://114.254.153.52:4022/rtp/239.3.1.135:8028$北京联通
浙江卫视,http://114.254.153.52:4022/rtp/239.3.1.137:8036$北京联通
东方卫视,http://114.254.153.52:4022/rtp/239.3.1.136:8032$北京联通
安徽卫视,http://114.254.153.52:4022/rtp/239.3.1.211:8064$北京联通
辽宁卫视,http://114.254.153.52:4022/rtp/239.3.1.210:8056$北京联通
黑龙江卫视,http://114.254.153.52:4022/rtp/239.3.1.133:8016$北京联通
吉林卫视,http://114.254.153.52:4022/rtp/239.3.1.240:8172$北京联通
天津卫视,http://114.254.153.52:4022/rtp/239.3.1.141:1234$北京联通
广东卫视,http://114.254.153.52:4022/rtp/239.3.1.142:8048$北京联通
深圳卫视,http://114.254.153.52:4022/rtp/239.3.1.134:8020$北京联通
湖北卫视,http://114.254.153.52:4022/rtp/239.3.1.138:8044$北京联通
山东卫视,http://114.254.153.52:4022/rtp/239.3.1.209:8052$北京联通
河北卫视,http://114.254.153.52:4022/rtp/239.3.1.148:8072$北京联通
河南卫视,http://114.254.153.52:4022/rtp/239.3.1.50:8184$北京联通
贵州卫视,http://114.254.153.52:4022/rtp/239.3.1.149:8076$北京联通
东南卫视,http://114.254.153.52:4022/rtp/239.3.1.156:8148$北京联通
重庆卫视,http://114.254.153.52:4022/rtp/239.3.1.122:8160$北京联通
江西卫视,http://114.254.153.52:4022/rtp/239.3.1.123:8164$北京联通
甘肃卫视,http://114.254.153.52:4022/rtp/239.3.1.201:8180$北京联通
宁夏卫视,http://114.254.153.52:4022/rtp/239.3.1.169:8212$北京联通
西藏卫视,http://114.254.153.52:4022/rtp/239.3.1.166:8188$北京联通
新疆卫视,http://114.254.153.52:4022/rtp/239.3.1.167:8192$北京联通
兵团卫视,http://114.254.153.52:4022/rtp/239.3.1.168:8196$北京联通
四川卫视,http://114.254.153.52:4022/rtp/239.3.1.29:8288$北京联通
海南卫视,http://114.254.153.52:4022/rtp/239.3.1.45:8304$北京联通
内蒙古卫视,http://114.254.153.52:4022/rtp/239.3.1.43:8176$北京联通
陕西卫视,http://114.254.153.52:4022/rtp/239.3.1.41:8140$北京联通
广西卫视,http://114.254.153.52:4022/rtp/239.3.1.39:8300$北京联通
山西卫视,http://114.254.153.52:4022/rtp/239.3.1.42:8172$北京联通
青海卫视,http://114.254.153.52:4022/rtp/239.3.1.44:8184$北京联通
云南卫视,http://114.254.153.52:4022/rtp/239.3.1.26:8108$北京联通
厦门卫视,http://114.254.153.52:4022/rtp/239.3.1.143:4120$北京联通
三沙卫视,http://114.254.153.52:4022/rtp/239.3.1.155:4120$北京联通
北京卫视4K,http://114.254.153.52:4022/rtp/239.3.1.118:8001$北京联通
湖南卫视4K,http://114.254.153.52:4022/rtp/239.3.1.112:3002$北京联通
江苏卫视4K,http://114.254.153.52:4022/rtp/239.3.1.113:3003$北京联通
浙江卫视4K,http://114.254.153.52:4022/rtp/239.3.1.114:3004$北京联通
东方卫视4K,http://114.254.153.52:4022/rtp/239.3.1.119:3006$北京联通
广东卫视4K,http://114.254.153.52:4022/rtp/239.3.1.203:2000$北京联通
深圳卫视4K,http://114.254.153.52:4022/rtp/239.3.1.202:2000$北京联通
山东卫视4K,http://114.254.153.52:4022/rtp/239.3.1.144:3005$北京联通
四川卫视4K,http://114.254.153.52:4022/rtp/239.3.1.131:3001$北京联通
金鹰纪实,http://114.254.153.52:4022/rtp/239.3.1.58:8156$北京联通
快乐垂钓,http://114.254.153.52:4022/rtp/239.3.1.164:8001$北京联通
茶频道,http://114.254.153.52:4022/rtp/239.3.1.165:8001$北京联通
中国交通,http://114.254.153.52:4022/rtp/239.3.1.188:8001$北京联通
山东教育卫视,http://114.254.153.52:4022/rtp/239.3.1.52:4120$北京联通
金鹰卡通,http://114.254.153.52:4022/rtp/239.3.1.51:9252$北京联通
嘉佳卡通,http://114.254.153.52:4022/rtp/239.3.1.147:9268$北京联通
证券服务,http://114.254.153.52:4022/rtp/239.3.1.24:8001$北京联通
财富天下,http://114.254.153.52:4022/rtp/239.3.1.53:9136$北京联通
睛彩竞技,http://114.254.153.52:4022/rtp/239.3.1.125:8001$北京联通
睛彩篮球,http://114.254.153.52:4022/rtp/239.3.1.126:8001$北京联通
睛彩青少年,http://114.254.153.52:4022/rtp/239.3.1.127:8001$北京联通
睛彩广场舞,http://114.254.153.52:4022/rtp/239.3.1.128:8001$北京联通
爱上4K,http://114.254.153.52:4022/rtp/239.3.1.236:2000$北京联通
IPTV收视指南,http://114.254.153.52:4022/rtp/239.3.1.193:8012$北京联通
IPTV热播剧场,http://114.254.153.52:4022/rtp/239.3.1.194:9020$北京联通
IPTV经典电影,http://114.254.153.52:4022/rtp/239.3.1.195:9024$北京联通
IPTV魅力时尚,http://114.254.153.52:4022/rtp/239.3.1.196:9012$北京联通
IPTV少儿动画,http://114.254.153.52:4022/rtp/239.3.1.199:9000$北京联通
城市剧场,http://114.254.153.52:4022/rtp/239.3.1.67:4120$北京联通
军旅剧场,http://114.254.153.52:4022/rtp/239.3.1.68:4120$北京联通
古装剧场,http://114.254.153.52:4022/rtp/239.3.1.69:4120$北京联通
音乐现场,http://114.254.153.52:4022/rtp/239.3.1.70:4120$北京联通
地理,http://114.254.153.52:4022/rtp/239.3.1.71:4120$北京联通
美妆,http://114.254.153.52:4022/rtp/239.3.1.72:4120$北京联通
美人,http://114.254.153.52:4022/rtp/239.3.1.73:4120$北京联通
精选,http://114.254.153.52:4022/rtp/239.3.1.74:4120$北京联通
解密,http://114.254.153.52:4022/rtp/239.3.1.75:4120$北京联通
军事,http://114.254.153.52:4022/rtp/239.3.1.76:4120$北京联通
国学,http://114.254.153.52:4022/rtp/239.3.1.77:4120$北京联通
戏曲,http://114.254.153.52:4022/rtp/239.3.1.78:4120$北京联通
早教,http://114.254.153.52:4022/rtp/239.3.1.79:4120$北京联通
动画,http://114.254.153.52:4022/rtp/239.3.1.80:4120$北京联通
好学生,http://114.254.153.52:4022/rtp/239.3.1.81:4120$北京联通
鉴赏,http://114.254.153.52:4022/rtp/239.3.1.82:4120$北京联通
墨宝,http://114.254.153.52:4022/rtp/239.3.1.83:4120$北京联通
光影,http://114.254.153.52:4022/rtp/239.3.1.84:4120$北京联通
四大名著,http://114.254.153.52:4022/rtp/239.3.1.85:4120$北京联通
爱生活,http://114.254.153.52:4022/rtp/239.3.1.86:4120$北京联通
武术,http://114.254.153.52:4022/rtp/239.3.1.87:4120$北京联通
古早影院,http://114.254.153.52:4022/rtp/239.3.1.88:4120$北京联通
足球,http://114.254.153.52:4022/rtp/239.3.1.89:4120$北京联通
武侠剧场,http://114.254.153.52:4022/rtp/239.3.1.90:4120$北京联通
喜剧影院,http://114.254.153.52:4022/rtp/239.3.1.91:4120$北京联通
动作影院,http://114.254.153.52:4022/rtp/239.3.1.92:4120$北京联通
家庭影院,http://114.254.153.52:4022/rtp/239.3.1.93:4120$北京联通
星影,http://114.254.153.52:4022/rtp/239.3.1.94:4120$北京联通
CCTV-1综合,http://111.167.17.186:5002/rtp/225.1.1.120:5002$天津联通
CCTV-2财经,http://111.167.17.186:5002/rtp/225.1.1.133:5002$天津联通
CCTV-3综艺,http://111.167.17.186:5002/rtp/225.1.1.158:5002$天津联通
CCTV-4中文国际,http://111.167.17.186:5002/rtp/225.1.1.150:5002$天津联通
CCTV-5体育,http://111.167.17.186:5002/rtp/225.1.1.160:5002$天津联通
CCTV-5+体育赛事,http://111.167.17.186:5002/rtp/225.1.1.121:5002$天津联通
CCTV-6电影,http://111.167.17.186:5002/rtp/225.1.1.195:5002$天津联通
CCTV-7国防军事,http://111.167.17.186:5002/rtp/225.1.1.138:5002$天津联通
CCTV-8电视剧,http://111.167.17.186:5002/rtp/225.1.1.196:5002$天津联通
CCTV-9纪录,http://111.167.17.186:5002/rtp/225.1.1.119:5002$天津联通
CCTV-10科教,http://111.167.17.186:5002/rtp/225.1.1.140:5002$天津联通
CCTV-11戏曲,http://111.167.17.186:5002/rtp/225.1.2.192:5002$天津联通
CCTV-12社会与法,http://111.167.17.186:5002/rtp/225.1.1.142:5002$天津联通
CCTV-13新闻,http://111.167.17.186:5002/rtp/225.1.2.193:5002$天津联通
CCTV-14少儿,http://111.167.17.186:5002/rtp/225.1.1.144:5002$天津联通
CCTV-15音乐,http://111.167.17.186:5002/rtp/225.1.2.194:5002$天津联通
CCTV-16奥林匹克,http://111.167.17.186:5002/rtp/225.1.2.237:5002$天津联通
CCTV-17农业农村,http://111.167.17.186:5002/rtp/225.1.2.52:5002$天津联通
CCTV-4K,http://111.167.17.186:5002/rtp/225.1.2.245:5002$天津联通
卫生健康,http://111.167.17.186:5002/rtp/225.1.2.165:5002$天津联通
兵器科技,http://111.167.17.186:5002/rtp/225.1.2.166:5002$天津联通
电视指南,http://111.167.17.186:5002/rtp/225.1.2.167:5002$天津联通
风云足球,http://111.167.17.186:5002/rtp/225.1.2.168:5002$天津联通
高尔夫·网球,http://111.167.17.186:5002/rtp/225.1.2.169:5002$天津联通
